Library Name,Legal Service Area (Population Assignment),Start of Local Fiscal Year (LFY),End of Local Fiscal Year (LFY),Mail City,Library Phone,Total Staff Expenditures,Print Material Expenditures,Electronic Material Expenditures,City/Library District Capital Revenue,Total Capital Revenue,Electronically Searchable  Catalog,1% of Collection Published in Last Five Years?,Books in Print,Physical Audio Items,E-books,E-Audio,Total Collection Items,Annual Library Visits,Registered Library Users,Annual Circulation: All Other Ages Physical Items,Annual Circulation: All Other Ages Digital Items,Total Annual Circulation,Public Internet Computers Available,Number of Public Internet Computers,Annual Number of Computer Uses,Annual Website Visits,Annual Number of Public Service Hours,Annual Number Public Service Weeks
Haltom City Public Library,"46,073",10/01/2020,09/30/2021,Haltom City,8172227786,"$7,86,877","$59,106","$12,428",$0,$0,Yes,Yes,"69,290","3,990","18,169","9,342","1,11,469","95,283","40,521","66,024","7,407","1,10,539",Yes,35,"7,969","32,700","2,547",43
Stewart C Meyer Library,"33,097",10/01/2020,09/30/2021,Harker Heights,2549535491,"$5,36,865","$62,269","$20,766",$0,$0,Yes,Yes,"55,984","4,709","23,250","6,359","94,505","27,659","59,676","75,041","19,963","1,40,817",Yes,5,"8,752",-1,"2,706",51
Harlingen Public Library,"98,626",10/01/2020,09/30/2021,Harlingen,9562165800,"$8,73,079","$1,14,765","$76,425",$0,$0,Yes,Yes,"86,601",802,"19,756","4,069","1,19,534","59,874","50,511","49,635","33,532","1,42,396",Yes,57,"13,787","16,695","2,985",52
Harper Library,685,01/01/2021,12/31/2021,Harper,8308644993,"$15,178","$3,976","$2,129",$0,$0,Yes,Yes,"10,757",495,"16,716",0,"29,578","3,183",620,"2,407","1,589","4,687",Yes,5,151,-1,"1,751",50
Haskell County Library,"5,713",10/01/2020,09/30/2021,Haskell,9408642747,"$1,06,749","$9,978",$0,$0,$0,Yes,Yes,"12,481",335,0,0,"13,305","5,414",976,"1,946",0,"3,143",Yes,7,"1,447",-1,"1,982",50
Haslet Public Library,"1,952",10/01/2020,09/30/2021,Haslet,8174394278,"$2,77,094","$13,469","$5,281",$0,$0,Yes,Yes,"22,329","1,227","19,277","10,392","56,351","26,819","13,865","23,235","11,371","65,727",Yes,6,"2,162",-1,"1,552",52
Allen Memorial Public Library,"4,370",10/01/2020,09/30/2021,Hawkins,9037692241,"$44,161","$5,183","$2,593","$5,993","$9,953",Yes,Yes,"20,336","1,069","29,533","5,009","58,382",-1,"3,625","5,493","1,917","13,672",Yes,9,"2,030",-1,"1,462",51
Smith-Welch Memorial Library,"12,659",10/01/2020,09/30/2021,Hearne,9792795191,"$1,49,379","$11,732","$2,000",$0,$0,Yes,Yes,"13,435",20,"23,250","6,359","44,190","13,208","2,383","5,019",693,"7,562",Yes,10,"3,494",-1,"2,178",49
JR Huffman Public Library,"9,619",01/01/2021,12/31/2021,Hemphill,4097874829,"$44,172","$4,023",$0,$0,$0,Yes,Yes,"21,759",498,0,0,"24,063","6,200","3,186","11,128",0,"13,498",Yes,4,"1,500",-1,"1,694",51
Waller County Library,"57,452",01/01/2021,12/31/2021,Hempstead,9798267658,"$4,10,392","$26,671","$4,000",$0,$0,Yes,Yes,"44,668",991,"16,452","2,878","73,041",0,"13,008","16,192","2,355","24,101",Yes,20,"2,762","68,361",384,32
Rusk County Library System,"51,048",01/01/2021,12/31/2021,Henderson,9036578557,"$7,85,888","$33,149","$4,866",$0,"$6,765",Yes,Yes,"87,726","1,929","35,074","7,021","1,41,454","57,960","19,397","34,507","8,057","78,321",Yes,35,"6,024","10,305","2,318",52
Edwards Public Library,"10,550",10/01/2020,09/30/2021,Henrietta,9405384791,"$1,33,168","$4,920",$0,$0,$0,Yes,Yes,"30,121","1,617",0,0,"34,183","5,971","2,444","15,216",0,"20,331",Yes,6,725,-1,"1,939",46
Deaf Smith County Library,"18,277",10/01/2020,09/30/2021,Hereford,8063641206,"$2,46,401","$31,144","$11,196",$0,$0,Yes,Yes,"48,350","1,866","5,982","1,941","60,682","29,705","6,917","6,916",732,"31,276",Yes,6,"1,929","4,472","2,452",51
Hewitt Public Library,"25,152",10/01/2020,09/30/2021,Hewitt,2546662442,"$5,64,024","$47,301","$12,000",$0,$0,Yes,Yes,"46,844","1,720","1,01,047","1,596","1,53,702","86,329","11,993","1,16,403","48,521","2,71,829",Yes,22,"19,424","3,43,924","3,380",52
Hidalgo Public Library,"21,573",10/01/2020,09/30/2021,Hidalgo,9568432093,"$2,62,893","$3,000","$3,850",$0,$0,Yes,Yes,"26,686",156,"9,868","3,568","40,639","21,743","11,091","8,088","1,723","15,929",Yes,140,"7,393",0,"3,172",52
Highland Park Library,"8,864",10/01/2020,09/30/2021,Highland Park,2145599400,"$5,68,613","$71,503","$64,349",$0,$0,Yes,Yes,"26,709","2,842","4,520","3,500","42,000","12,036","2,057","22,217","12,204","57,651",Yes,10,212,-1,"1,906",51
Hillsboro City Library,"8,221",10/01/2020,09/30/2021,Hillsboro,2545827385,"$3,25,069","$9,912","$10,479",$0,$0,Yes,Yes,"34,246","1,344","21,339","7,756","66,341","18,000","19,792","16,670",430,"29,924",Yes,9,"1,808","3,377","1,338",42
Genevieve Miller Hitchcock Public Library,"8,210",10/01/2020,09/30/2021,Hitchcock,4099867814,"$84,633","$16,604","$1,500",$0,$0,Yes,Yes,"32,766",437,"19,826","2,870","57,670","7,732","5,420","3,933",546,"6,421",Yes,17,"1,462","1,286","1,676",52
Hondo Public Library,"8,289",10/01/2020,09/30/2021,Hondo,8304265333,"$2,58,848","$18,625","$7,626",$0,$0,Yes,Yes,"14,861",666,"16,989","4,668","39,026","16,937","2,365","7,602","2,840","19,893",Yes,18,"3,149","6,455","1,687",43
Honey Grove Library & Learning Center,"1,715",01/01/2021,12/31/2021,Honey Grove,9033782206,"$95,837","$4,335","$1,500",$0,$0,Yes,Yes,"17,377",339,"29,792","5,057","55,967","24,249","1,836","5,709","1,023","9,716",Yes,29,650,-1,"1,686",51
Houston Public Library,"23,04,580",07/01/2020,06/30/2021,Houston,8323931313,"$2,90,22,392","$18,53,281","$26,97,936","$1,22,04,856","$1,53,16,880",Yes,Yes,"19,54,237","84,299","1,27,902","62,457","24,62,390","1,08,817","14,60,872","5,81,694","10,01,208","24,90,394",Yes,458,"14,702","15,79,326",0,0
Harris County Public Library,"21,87,079",03/01/2020,02/28/2021,Houston-HCPL,7132746600,"$2,34,84,518","$22,06,324","$28,51,398",$0,$0,Yes,Yes,"14,40,539","41,979","2,67,002","43,841","19,88,562","3,34,023","18,99,006","46,52,236","26,03,778","1,13,94,925",Yes,"1,589","27,184","91,51,417",0,0
Howe Community Library,"8,752",09/01/2020,08/31/2021,Howe,9037454050,"$1,07,579","$17,344","$1,500",$0,$0,Yes,Yes,"19,810",279,"33,091","5,243","59,960","16,922","3,067","2,232",80,"27,505",Yes,10,900,-1,"1,809",48
Hughes Springs Area Public Library,"1,575",01/01/2021,12/31/2021,Hughes Springs,9036391332,"$15,938","$4,896",$0,$0,$0,Yes,Yes,"16,976",530,0,0,"19,098","8,569","1,413","6,121",0,"11,774",Yes,16,"2,950",-1,"1,104",48
McMullen Memorial Library,"8,290",09/01/2020,08/31/2021,Huntington,9368764516,"$80,000","$36,000",$0,$0,$0,Yes,Yes,"37,100",0,0,0,"37,620","12,750","8,200","60,000",0,"95,250",Yes,5,"4,800",-1,"2,496",52
Huntsville Public Library,"31,060",10/01/2020,09/30/2021,Huntsville,9362915472,"$4,06,207","$29,418","$12,135",$0,$0,Yes,Yes,"70,300","1,933","20,578","3,281","1,02,367","26,685","31,049","31,026","11,177","80,940",Yes,52,"4,956","32,000","1,809",47
Hurst Public Library,"40,413",10/01/2020,09/30/2021,Hurst,8177887300,"$13,77,771","$1,04,308","$69,376",$0,$0,Yes,Yes,"95,961","7,059","1,84,582","66,076","4,57,367","56,931","34,019","1,05,103","51,733","2,53,296",Yes,26,"9,625","51,669","2,618",52
Hutchins-Atwell Public Library,"5,607",10/01/2020,09/30/2021,Hutchins,9722254711,"$1,14,134","$1,495",$0,$0,$0,Yes,Yes,"24,948",167,0,0,"26,053","1,914","1,616",584,0,975,Yes,8,784,231,"2,160",48
Hutto Public Library,"27,577",10/01/2020,09/30/2021,Hutto,5127594008,"$1,21,070","$21,743","$3,497",$0,$0,Yes,Yes,"27,495",720,"23,390","6,379","60,958","9,403","3,199","6,815","8,221","33,034",Yes,16,601,"11,087",877,32
Imperial Public Library,"1,605",01/01/2021,12/31/2021,Imperial,4325362236,"$52,692","$2,727",$0,$0,$0,Yes,Yes,"19,161",240,0,0,"20,962","5,300",249,209,0,726,Yes,5,200,-1,"1,980",52
Ingleside Public Library,"13,580",10/01/2020,09/30/2021,Ingleside,3617765355,"$2,36,778","$10,069",$0,$0,$0,Yes,Yes,"33,316",621,0,54,"38,602","5,153","10,659","5,500",0,"8,500",Yes,24,695,-1,"2,104",44
Tom Burnett Memorial Library,"6,535",10/01/2020,09/30/2021,Iowa Park,9405924981,"$98,462","$17,809","$2,050",$0,$0,Yes,Yes,"18,436",333,"10,289",853,"33,298","4,950","3,335","8,846",0,"11,664",Yes,3,"2,756",-1,"2,833",52
Iraan Public Library,"2,896",01/01/2021,12/31/2021,Iraan,4326392235,"$88,484","$11,762",$0,$0,$0,Yes,Yes,"19,966",589,0,0,"22,012","2,232","1,259","1,676",0,"1,989",Yes,3,306,-1,"1,984",52
Irving Public Library,"2,56,684",10/01/2020,09/30/2021,Irving,9727212628,"$57,82,008","$4,13,132","$3,41,855",$0,$0,Yes,Yes,"3,52,828","19,004","71,500","18,527","5,15,657","2,33,343","1,00,293","2,83,015","95,290","9,85,278",Yes,133,"32,889","2,53,811",0,0
Gladys Johnson Ritchie Public Library,"9,056",01/01/2021,12/31/2021,Jacksboro,9405672240,"$44,487","$6,092","$3,000",$0,"$20,000",Yes,Yes,"30,391",645,"10,468",793,"44,412","8,765","3,786","5,316","20,780","33,087",Yes,13,"5,202",668,"1,600",51
Jacksonville Public Library,"13,997",10/01/2020,09/30/2021,Jacksonville,9035867664,"$2,58,149","$30,100","$3,000","$4,91,809","$4,91,809",Yes,Yes,"49,142","2,077","28,464","5,826","88,795","7,628","1,516","11,308","5,048","28,294",Yes,19,529,"2,387",882,18
Jarrell Community Library,"1,753",01/01/2021,12/31/2021,Jarrell,5125411036,"$5,470","$7,648",$0,$0,$0,Yes,Yes,"10,748",536,0,0,"11,714","3,854","1,107","8,146",0,"11,714",Yes,8,336,"3,060","1,504",47
Jasper Public Library,"6,884",10/01/2020,09/30/2021,Jasper,4093843791,"$2,50,561","$27,979","$8,198",$0,$0,Yes,Yes,"34,088","2,195","20,466","2,875","61,721","27,291","8,911","8,272","4,402","15,050",Yes,24,"2,325",-1,"2,271",52
Jefferson Carnegie Library,"9,960",01/01/2021,12/31/2021,Jefferson,9036658911,"$66,528","$3,500","$1,000",$0,$0,Yes,Yes,"21,917","1,070","5,000",0,"29,237","15,098","4,853","9,200",5,"11,705",Yes,5,"2,560",-1,"2,230",28
Johnson City Library,"5,531",01/01/2021,12/31/2021,Johnson City,8308684469,"$1,19,963","$7,838","$3,809",$0,"$23,353",Yes,Yes,"16,498","1,133","22,911","6,520","48,774","8,749",887,"4,875","2,599","10,502",Yes,12,"1,668",-1,"2,652",52
Jonestown Community Library,"2,365",10/01/2020,09/30/2021,Jonestown,5122677511,"$80,492","$5,008","$1,500",$0,$0,Yes,Yes,"8,773",367,"18,255","4,887","34,309","4,808",713,"2,697",473,"4,195",Yes,4,489,"7,549","2,326",47
Joshua School & Public Library,"28,232",09/01/2020,08/31/2021,Joshua,8172022547,"$1,81,152","$4,858","$3,000",$0,$0,Yes,Yes,"34,712",327,"14,729","10,590","61,243","1,440","4,638","3,300","1,250","7,350",Yes,18,252,"1,871",508,12
Jourdanton Community Library,"10,007",10/01/2020,09/30/2021,Jourdanton,8307693087,"$1,09,664","$12,309",$0,$0,$0,Yes,Yes,"33,973","1,702",0,0,"35,715","9,090","5,621","17,880",0,"19,630",Yes,12,"1,019",-1,"2,189",52
Kimble County Library,"4,396",01/01/2021,12/31/2021,Junction,3254462342,"$1,32,412","$14,619","$1,500",$0,$0,Yes,Yes,"12,657",771,"14,724","2,908","32,551","9,155","2,933","8,031","2,486","13,518",Yes,17,"2,423",-1,"1,973",47
Justin Community Library,"6,152",10/01/2020,09/30/2021,Justin,9406482541,"$1,05,519","$4,854","$1,000",$0,$0,Yes,Yes,"14,537",582,"10,377",791,"30,797","2,731","1,160","1,998","1,113","7,398",Yes,2,53,-1,174,6
Karnes City Public Library,"6,059",10/01/2020,09/30/2021,Karnes City,8307802539,"$1,09,060","$19,899","$5,045",$0,$0,Yes,Yes,"20,208",337,"3,272",312,"25,817","10,509",761,"7,119","1,031","18,532",Yes,6,"1,612",-1,"1,816",45
Kaufman County Library,"22,242",10/01/2020,09/30/2021,Kaufman,9729326222,"$2,32,802","$22,103","$3,185",$0,$0,Yes,Yes,"34,160",723,"29,478","4,885","70,008","48,723","11,354","14,374","9,961","38,773",Yes,19,"11,236","65,625","1,570",42
Keller Public Library,"45,776",10/01/2020,09/30/2021,Keller,8177434800,"$9,92,733","$1,00,000","$67,731",$0,$0,Yes,Yes,"67,806","3,436","22,513","10,216","1,18,908","1,26,375","33,626","3,52,720","26,021","5,15,762",Yes,41,"8,055","1,80,020","2,789",41
Kendalia Public Library,"4,754",01/01/2021,12/31/2021,Kendalia,8303362002,"$21,659","$3,269",$0,$0,"$1,059",Yes,Yes,"7,851",587,0,0,"9,402","1,530",360,"4,177",0,"7,996",Yes,4,123,100,985,52
Kenedy Public Library,"6,764",10/01/2020,09/30/2021,Kenedy,8305833313,"$1,10,081","$14,564","$5,699",$0,$0,Yes,Yes,"19,672",128,"15,922","3,139","40,490","8,655","2,430","3,596","1,404","18,417",Yes,8,944,-1,"2,117",49
Kennedale Public Library,"8,517",10/01/2020,09/30/2021,Kennedale,8179852136,"$2,00,874","$19,625","$4,782",$0,$0,Yes,Yes,"17,955",255,-1,-1,"19,125","5,840","6,565","4,503","2,763","13,042",Yes,4,378,"3,896","1,200",28
Winkler County Library,"7,887",01/01/2021,12/31/2021,Kermit,4325863841,"$2,00,060","$15,195","$1,735",$0,$0,Yes,Yes,"23,590","1,122","18,970","2,800","46,567","19,285","1,800","3,800",72,"6,687",Yes,7,"4,800",501,"2,340",52
Butt-Holdsworth Memorial Library,"52,869",10/01/2020,09/30/2021,Kerrville,8302578422,"$5,16,883","$62,483","$32,625",$0,"$10,00,000",Yes,Yes,"51,522","2,247","19,522","6,172","84,467","45,109","9,144","75,340","19,256","1,04,405",Yes,25,"3,631","33,343","1,868",38
Kilgore Public Library,"16,331",10/01/2020,09/30/2021,Kilgore,9039841529,"$2,66,608","$48,821","$6,248",$0,$0,Yes,Yes,"19,829","2,355","28,991","13,691","66,576","48,466","16,173","20,749","6,620","46,523",Yes,10,"2,271",-1,"2,250",52
Killeen City Library System,"1,53,095",10/01/2020,09/30/2021,Killeen,2545018994,"$11,44,055","$78,410","$85,217",$0,"$34,575",Yes,Yes,"1,30,646","1,217","6,284","6,196","1,53,942","1,12,883","65,964","43,832","60,463","1,38,989",Yes,28,"22,491",-1,"2,643",52
Robert J Kleberg Public Library,"30,717",10/01/2020,09/30/2021,Kingsville,3615926381,"$4,19,500","$27,761","$15,306",$0,$0,Yes,Yes,"57,441","1,200","2,576",139,"61,647","21,474","36,501","7,631","1,517","17,751",Yes,24,"1,883","3,911","2,117",52
Kirbyville Public Library,"3,925",10/01/2020,09/30/2021,Kirbyville,4094234653,"$1,14,207","$3,096",$0,$0,$0,Yes,Yes,"21,119",419,0,0,"22,698","20,912","8,637","6,501",0,"12,413",Yes,12,"2,584",-1,"1,540",46
Krum Public Library,"7,650",10/01/2020,09/30/2021,Krum,9404823455,"$1,17,429","$11,219",$984,$0,"$4,423",Yes,Yes,"15,094",425,0,0,"18,083","6,882","4,170","20,007",0,"27,654",Yes,6,"4,954","3,691","1,987",48
Kyle Public Library,"60,343",10/01/2020,09/30/2021,Kyle,5122687411,"$6,65,011","$55,754","$14,223",$0,$0,Yes,Yes,"57,769","1,280","18,427","4,911","88,864","45,759","11,163","45,097","15,504","1,14,106",Yes,38,"6,353","21,111","2,427",52
Bailey H Dunlap Memorial Library,"9,360",10/01/2020,09/30/2021,La Feria,9567971242,"$88,155","$21,450",$0,$0,$0,No,Yes,"39,000","1,600",0,0,"42,900","15,689","8,250","14,387",0,"23,338",Yes,15,"11,489",-1,"1,024",26
Fayette Public Library,"4,391",10/01/2020,09/30/2021,La Grange,9799683765,"$2,80,195","$9,298","$1,800",$0,$0,Yes,Yes,"16,383",600,"17,193","4,566","42,796","49,652","5,072","19,963","4,296","38,652",Yes,13,753,-1,"1,826",52
La Joya Municipal Library,"6,886",10/01/2020,09/30/2021,La Joya,9565814533,"$1,03,150","$4,000",$0,$0,$0,Yes,Yes,"35,052",729,"9,868","12,354","58,923","6,635",57,"2,546",110,"3,810",Yes,26,"1,057",-1,"2,490",52
La Marque Public Library,"20,276",10/01/2020,09/30/2021,La Marque,4099389270,"$2,65,147","$16,226","$10,522",$0,$0,Yes,Yes,"28,002",232,"14,430","1,475","46,666","9,827","11,852","4,436","1,997","9,450",Yes,8,"1,931","7,120","1,440",51
Lago Vista Public Library,"8,896",10/01/2020,09/30/2021,Lago Vista,5122673868,"$1,74,375","$12,447","$2,499",$0,$0,Yes,Yes,"12,543",844,"16,557","4,399","36,616","11,607","2,045","13,045","6,491","25,948",Yes,8,"1,514",-1,"1,872",48
Laguna Vista Public Library,"4,833",10/01/2020,09/30/2021,Laguna Vista,9569437155,"$78,845","$9,129","$1,500",$0,$0,Yes,Yes,"15,737",649,"23,662","6,748","50,450","4,200","3,664","3,122",543,"4,840",Yes,18,300,-1,"2,214",40
Lake Dallas Library,"7,708",10/01/2020,09/30/2021,Lake Dallas,9404973566,"$1,88,321","$17,620","$5,323","$9,000","$9,000",Yes,Yes,"15,618","1,130","1,216","2,493","23,566","15,326","2,528","5,153","4,635","17,428",Yes,13,"2,659","7,401","2,132",41
Mary Lou Reddick Public Library,"1,649",10/01/2020,09/30/2021,Lake Worth,8172379681,"$2,27,725","$17,553","$3,000",$0,$0,Yes,Yes,"19,803",541,"14,600","7,900","44,040","9,382","13,058","10,226","8,601","26,567",Yes,10,"1,556",-1,"1,992",26
Lakehills Area Library,"6,903",01/01/2021,12/31/2021,Lakehills,8305102777,"$73,993","$6,649",$500,$0,$0,Yes,Yes,"14,692",550,"17,312","4,737","39,622",-1,"6,028","11,578","2,912","24,971",Yes,19,"1,914",-1,"1,944",51
Dawson County Public Library,"12,974",10/01/2020,09/30/2021,Lamesa,8068726502,"$2,23,024","$19,427","$2,000",$0,$0,Yes,Yes,"28,339","2,454","18,841","3,561","55,163","23,770","6,906","19,938","2,455","36,838",Yes,20,"3,268","3,041","2,156",49
Lampasas Public Library,"7,291",10/01/2020,09/30/2021,Lampasas,5125563251,"$1,87,406","$23,949","$1,500",$0,"$54,312",Yes,Yes,"23,512",691,"23,250","6,359","55,755","26,238","4,330","19,184","5,642","43,599",Yes,13,972,"2,468","1,985",52
Lancaster Veterans Memorial Library,"41,275",10/01/2020,09/30/2021,Lancaster,9722271080,"$2,67,738","$24,074","$4,012",$0,$0,Yes,Yes,"75,279",302,607,76,"79,715","23,740","14,721","6,966",299,"17,766",Yes,42,"9,065",-1,"2,000",52
Laredo Public Library,"2,55,205",10/01/2020,09/30/2021,Laredo,9567952400,"$23,54,059","$2,29,804","$1,81,304",$0,$0,Yes,Yes,"2,73,852","9,887","1,71,825","64,710","5,43,808","42,321","2,20,047","12,736","24,672","83,519",Yes,92,"4,228","1,52,626",960,15
Helen Hall Library,"1,28,326",10/01/2020,09/30/2021,League City,2815541111,"$18,35,360","$1,58,891","$1,45,176",$0,$0,Yes,Yes,"75,896","11,000","54,307","22,033","1,78,045","1,38,823","42,477","2,90,353","1,22,333","6,07,659",Yes,46,"23,939",-1,"3,117",52
Real County Public Library Leakey,"1,706",09/01/2020,08/31/2021,Leakey,8302325199,"$39,275","$1,618","$1,000",$0,$0,Yes,Yes,"14,226",748,"17,045","4,539","38,384","6,489","3,613","1,342",748,"4,111",Yes,11,611,"2,200","1,587",39
Leander Public Library,"59,202",10/01/2020,09/30/2021,Leander,5122595259,"$3,70,704","$53,326","$26,660",$0,$0,Yes,Yes,"55,052","3,455","18,335","4,653","86,304","23,848","31,844","28,577","18,176","1,31,166",Yes,22,"5,594",-1,"2,335",51
Leon Valley Public Library,"11,542",10/01/2020,09/30/2021,Leon Valley,2106840720,"$3,42,872","$11,083","$2,100",$0,$0,Yes,Yes,"30,621",934,"15,461","3,354","54,381","15,082","3,833","8,148","1,137","18,681",Yes,11,591,"10,110","2,004",28
Leonard Public Library,"1,987",10/01/2020,09/30/2021,Leonard,9035872391,"$31,257","$1,810",$0,$0,$0,Yes,Yes,"18,324",358,0,0,"20,865","2,745","4,453","15,236",0,"17,105",Yes,8,541,-1,"1,036",37
Hockley County Memorial Library,"21,638",01/01/2021,12/31/2021,Levelland,8068946750,"$1,46,922","$11,486","$3,000",$0,$0,Yes,Yes,"32,464","1,178","18,653","3,555","57,085","6,390","4,451","9,555","2,843","17,226",Yes,11,"1,832",-1,"2,194",52
Lewisville Public Library,"1,55,499",10/01/2020,09/30/2021,Lewisville,9722193570,"$16,68,086","$2,16,711","$1,39,911",$0,$0,Yes,Yes,"1,41,292","9,671","46,522","28,999","2,45,928","1,09,292","51,815","1,50,383","48,384","4,29,983",Yes,71,"11,061","1,56,021","1,828",41
Liberty Municipal Library,"8,279",10/01/2020,09/30/2021,Liberty,9363368901,"$3,14,067","$30,325","$1,500",$0,$0,Yes,Yes,"49,823",829,"19,794","2,962","75,997","19,182","7,413","13,956","4,384","35,011",Yes,9,"2,270",-1,"1,598",51
Liberty Hill Public Library,"16,516",10/01/2020,09/30/2021,Liberty Hill,5127786400,"$2,93,152","$35,248","$13,914",$0,$0,Yes,Yes,"24,712",684,"18,523","4,916","52,292","59,012","7,699","27,921","9,916","75,865",Yes,3,"2,511",-1,870,19
Lillie Russell Memorial Library,"6,059",01/01/2021,12/31/2021,Lindale,9038821900,"$84,497","$17,500",$0,$0,"$19,500",Yes,Yes,"58,500","1,500","29,000","13,000","1,04,253","40,000","26,791","19,000","10,700","57,000",Yes,10,"4,500",-1,"1,872",52
Linden Public Library,"1,825",10/01/2020,09/30/2021,Linden,4302188770,"$39,218","$1,200",$0,$0,$0,Yes,Yes,"11,230",230,0,0,"12,162","2,774",578,"3,300",0,"3,300",Yes,4,559,-1,"1,445",48
Little Elm Public Library,"64,812",10/01/2020,09/30/2021,Little Elm,2149750430,"$4,82,017","$10,077","$60,621",$0,$0,Yes,Yes,"37,158","2,640","36,809","1,012","85,771","69,689","15,491","1,12,135","25,379","2,21,976",Yes,49,"10,617","2,29,416",969,17
Lamb County Library,"7,732",10/01/2020,09/30/2021,Littlefield,8063855223,"$99,705","$25,050",$0,$0,$0,Yes,Yes,"12,752",881,0,0,"14,842","25,682","8,816",0,0,"17,354",Yes,4,"17,000",-1,"2,075",52
Livingston Municipal Library,"5,640",10/01/2020,09/30/2021,Livingston,9363274252,"$3,31,831","$24,634","$3,055","$33,683","$33,683",Yes,Yes,"17,264",906,"20,810","3,836","44,309","16,657","7,521","11,255","6,405","27,703",Yes,12,"3,195",-1,"1,136",28
Llano County Library System,"21,958",10/01/2020,09/30/2021,Llano,3252475248,"$3,91,483","$19,512",$0,$0,$0,Yes,Yes,"33,048","1,814","14,542","3,295","62,544","58,589","2,211","63,886","3,437","85,767",Yes,32,"1,799",-1,"2,192",47
Dr Eugene Clark Library,"14,379",10/01/2020,09/30/2021,Lockhart,5123983223,"$4,08,502","$15,405","$4,954",$0,$0,Yes,Yes,"33,933","1,299","38,960",9,"76,197","7,823","7,693","25,000","4,100","47,384",Yes,14,"1,696",-1,"2,640",44
Lone Oak Area Public Library,"1,543",10/01/2020,09/30/2021,Lone Oak,9036624565,$0,"$7,132","$2,100",$0,$0,Yes,Yes,"15,750",338,"15,052",149,"33,559","2,292","2,674","12,051","5,491","26,130",Yes,12,286,150,"1,664",52
Longview Public Library,"1,04,831",10/01/2020,09/30/2021,Longview,9032371350,"$10,98,633","$87,183","$87,117",$0,$0,Yes,Yes,"1,29,793","4,847","36,311","21,860","2,06,180","73,564","57,489","76,343","52,005","2,28,188",Yes,79,"13,325",-1,"2,754",50
Ethel L Whipple Memorial Library,"11,141",10/01/2020,09/30/2021,Los Fresnos,9562335330,"$1,01,839","$6,604","$1,500",$0,$0,Yes,Yes,"26,206",119,"21,970","4,165","53,660","7,452","3,926","3,130","1,050","5,296",Yes,10,"1,180","10,997","2,000",40
Lubbock Public Library,"2,94,686",10/01/2020,09/30/2021,Lubbock,8067752824,"$24,11,210","$1,87,329","$1,00,728",$0,$0,Yes,Yes,"2,91,396","12,152","17,253","6,566","3,59,620","2,23,473","1,78,559","2,64,705","1,67,623","7,06,321",Yes,37,"29,450","2,47,447","2,948",44
Kurth Memorial Library,"34,143",10/01/2020,09/30/2021,Lufkin,9366300560,"$4,74,108","$63,701","$47,745",$0,$0,Yes,Yes,"1,02,469","3,691","13,948",659,"1,25,187","43,485","27,567","58,633","6,809","1,05,061",Yes,28,"4,640",-1,"2,000",50
JB Nickells Memorial Library,"5,599",04/01/2020,03/31/2021,Luling,8308752813,"$50,343","$10,018","$1,500",$0,$0,Yes,Yes,"19,218",312,"21,996","5,873","48,854",0,"3,450","3,655",49,"3,753",Yes,9,0,-1,0,0
Lumberton Public Library,"20,926",10/01/2020,09/30/2021,Lumberton,4097557400,"$1,85,771","$24,524","$4,504",$0,$0,Yes,Yes,"21,982",718,"16,845","1,882","44,090","27,861","10,235","17,552","8,523","44,655",Yes,7,"1,359","5,677","1,952",52
Lytle Public Library,"5,948",10/01/2020,09/30/2021,Lytle,8307094142,"$1,21,660","$14,239",$0,$0,$0,Yes,Yes,"25,709","1,478",0,0,"29,477","4,867","1,771","5,060",0,"9,609",Yes,14,439,-1,848,46
Tri-County Library,"4,050",10/01/2020,09/30/2021,Mabank,9038879622,"$56,533","$22,100","$2,880",$0,"$9,704",Yes,Yes,"14,222",412,"23,244","3,984","42,539","19,482","9,912","9,823","4,419","21,109",Yes,8,"12,042",-1,"1,642",32
Madison County Library,"12,121",10/01/2020,09/30/2021,Madisonville,9363486118,"$2,06,908","$14,389","$2,259",$0,$0,Yes,Yes,"19,042",857,0,0,"21,454","7,751","1,192","5,088",0,"11,539",Yes,16,"2,109",-1,"1,694",48
Mansfield Public Library,"72,602",10/01/2020,09/30/2021,Mansfield,8177283690,"$9,75,958","$68,288","$28,657",$0,$0,Yes,Yes,"60,588","2,592","30,288","15,078","1,14,873","77,658","33,292","83,176","56,478","2,70,046",Yes,17,"8,151","54,255","2,207",51
Marathon Public Library,"1,110",01/01/2021,12/31/2021,Marathon,4323864136,"$53,807","$5,004",$0,$0,"$23,966",Yes,Yes,"8,225",41,0,0,"9,855","6,916",243,"1,616",0,"2,251",Yes,8,"2,270",-1,905,35
Marfa Public Library,"2,303",10/01/2020,09/30/2021,Marfa,4327294631,"$1,12,540",$998,$0,$0,$0,Yes,Yes,"13,916",520,0,0,"18,836","3,890","4,046","6,044",0,"9,109",Yes,5,290,-1,"1,078",22
Marion Community Library,"2,662",10/01/2020,09/30/2021,Marion,8304204022,"$16,500","$4,215",$582,$0,"$1,06,076",Yes,Yes,"11,566",303,0,0,"12,603","2,516",88,33,0,80,Yes,4,,-1,240,12
Pauline and Jane Chilton Memorial Marlin Public Library,"5,462",10/01/2020,09/30/2021,Marlin,2548836602,"$25,482","$3,562",$0,$0,$0,Yes,Yes,"15,122",509,0,0,"15,696","2,619","1,041","3,300",0,"4,027",Yes,8,832,-1,988,49
